ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category3,category1Description,category2Description,category3Description,options
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.FormattedArgumentsToVMethodRecipes$DebugToVDebugRecipe,Refaster template `FormattedArgumentsToVMethod.DebugToVDebug`,"Recipe created for the following Refaster template:
```java
public static class DebugToVDebug {
    
    @BeforeTemplate
    void before(Logger logger, String message, Object[] args) {
        logger.debug(message, args);
    }
    
    @AfterTemplate
    void after(Logger logger, String message, Object[] args) {
        logger.debugv(message, args);
    }
}
```
.",1,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.FormattedArgumentsToVMethodRecipes$DebugToVDebugWithThrowableRecipe,Refaster template `FormattedArgumentsToVMethod.DebugToVDebugWithThrowable`,"Recipe created for the following Refaster template:
```java
public static class DebugToVDebugWithThrowable {
    
    @BeforeTemplate
    void before(Logger logger, String message, Object[] args, Throwable t) {
        logger.debug((Object)message, args, t);
    }
    
    @AfterTemplate
    void after(Logger logger, String message, Object[] args, Throwable t) {
        logger.debugv(message, args, t);
    }
}
```
.",1,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.FormattedArgumentsToVMethodRecipes$ErrorToVErrorRecipe,Refaster template `FormattedArgumentsToVMethod.ErrorToVError`,"Recipe created for the following Refaster template:
```java
public static class ErrorToVError {
    
    @BeforeTemplate
    void before(Logger logger, String message, Object[] args) {
        logger.error(message, args);
    }
    
    @AfterTemplate
    void after(Logger logger, String message, Object[] args) {
        logger.errorv(message, args);
    }
}
```
.",1,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.FormattedArgumentsToVMethodRecipes$ErrorToVErrorWithThrowableRecipe,Refaster template `FormattedArgumentsToVMethod.ErrorToVErrorWithThrowable`,"Recipe created for the following Refaster template:
```java
public static class ErrorToVErrorWithThrowable {
    
    @BeforeTemplate
    void before(Logger logger, String message, Object[] args, Throwable t) {
        logger.error((Object)message, args, t);
    }
    
    @AfterTemplate
    void after(Logger logger, String message, Object[] args, Throwable t) {
        logger.errorv(message, args, t);
    }
}
```
.",1,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.FormattedArgumentsToVMethodRecipes$FatalToVFatalRecipe,Refaster template `FormattedArgumentsToVMethod.FatalToVFatal`,"Recipe created for the following Refaster template:
```java
public static class FatalToVFatal {
    
    @BeforeTemplate
    void before(Logger logger, String message, Object[] args) {
        logger.fatal(message, args);
    }
    
    @AfterTemplate
    void after(Logger logger, String message, Object[] args) {
        logger.fatalv(message, args);
    }
}
```
.",1,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.FormattedArgumentsToVMethodRecipes$FatalToVFatalWithThrowableRecipe,Refaster template `FormattedArgumentsToVMethod.FatalToVFatalWithThrowable`,"Recipe created for the following Refaster template:
```java
public static class FatalToVFatalWithThrowable {
    
    @BeforeTemplate
    void before(Logger logger, String message, Object[] args, Throwable t) {
        logger.fatal((Object)message, args, t);
    }
    
    @AfterTemplate
    void after(Logger logger, String message, Object[] args, Throwable t) {
        logger.fatalv(message, args, t);
    }
}
```
.",1,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.FormattedArgumentsToVMethodRecipes$InfoToVInfoRecipe,Refaster template `FormattedArgumentsToVMethod.InfoToVInfo`,"Recipe created for the following Refaster template:
```java
public static class InfoToVInfo {
    
    @BeforeTemplate
    void before(Logger logger, String message, Object[] args) {
        logger.info(message, args);
    }
    
    @AfterTemplate
    void after(Logger logger, String message, Object[] args) {
        logger.infov(message, args);
    }
}
```
.",1,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.FormattedArgumentsToVMethodRecipes$InfoToVInfoWithThrowableRecipe,Refaster template `FormattedArgumentsToVMethod.InfoToVInfoWithThrowable`,"Recipe created for the following Refaster template:
```java
public static class InfoToVInfoWithThrowable {
    
    @BeforeTemplate
    void before(Logger logger, String message, Object[] args, Throwable t) {
        logger.info((Object)message, args, t);
    }
    
    @AfterTemplate
    void after(Logger logger, String message, Object[] args, Throwable t) {
        logger.infov(message, args, t);
    }
}
```
.",1,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.FormattedArgumentsToVMethodRecipes$TraceToVTraceRecipe,Refaster template `FormattedArgumentsToVMethod.TraceToVTrace`,"Recipe created for the following Refaster template:
```java
public static class TraceToVTrace {
    
    @BeforeTemplate
    void before(Logger logger, String message, Object[] args) {
        logger.trace(message, args);
    }
    
    @AfterTemplate
    void after(Logger logger, String message, Object[] args) {
        logger.tracev(message, args);
    }
}
```
.",1,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.FormattedArgumentsToVMethodRecipes$TraceToVTraceWithThrowableRecipe,Refaster template `FormattedArgumentsToVMethod.TraceToVTraceWithThrowable`,"Recipe created for the following Refaster template:
```java
public static class TraceToVTraceWithThrowable {
    
    @BeforeTemplate
    void before(Logger logger, String message, Object[] args, Throwable t) {
        logger.trace((Object)message, args, t);
    }
    
    @AfterTemplate
    void after(Logger logger, String message, Object[] args, Throwable t) {
        logger.tracev(message, args, t);
    }
}
```
.",1,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.FormattedArgumentsToVMethodRecipes$WarnToVWarnRecipe,Refaster template `FormattedArgumentsToVMethod.WarnToVWarn`,"Recipe created for the following Refaster template:
```java
public static class WarnToVWarn {
    
    @BeforeTemplate
    void before(Logger logger, String message, Object[] args) {
        logger.warn(message, args);
    }
    
    @AfterTemplate
    void after(Logger logger, String message, Object[] args) {
        logger.warnv(message, args);
    }
}
```
.",1,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.FormattedArgumentsToVMethodRecipes$WarnToVWarnWithThrowableRecipe,Refaster template `FormattedArgumentsToVMethod.WarnToVWarnWithThrowable`,"Recipe created for the following Refaster template:
```java
public static class WarnToVWarnWithThrowable {
    
    @BeforeTemplate
    void before(Logger logger, String message, Object[] args, Throwable t) {
        logger.warn((Object)message, args, t);
    }
    
    @AfterTemplate
    void after(Logger logger, String message, Object[] args, Throwable t) {
        logger.warnv(message, args, t);
    }
}
```
.",1,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.LoggerLevelArgumentToMethod,Replace JBoss Logging Level arguments with the corresponding eponymous level method calls,"Replace calls to `Logger.log(Level, ...)` with the corresponding eponymous level method calls. For example `Logger.log(Level.INFO, ...)` to `Logger.info(...)`.",1,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.JBossLoggingBestPractices,JBoss Logging Best Practices,"This recipe applies best practices for logging in JBoss applications.
It includes converting argument arrays to varargs for better readability and performance.",31,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes,Replace JUL Level arguments with the corresponding method calls,"Replace calls to `Logger.log(Level, String)` with the corresponding method calls.",29,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelConfigSupplierToMethodRecipe,"Replace JUL `Logger.log(Level.CONFIG, Supplier<String>)` with `Logger.config(Supplier<String>)`","Replace calls to `java.util.logging.Logger.log(Level.CONFIG, Supplier<String>)` with `Logger.config(Supplier<String>)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelConfigToMethodRecipe,"Replace JUL `Logger.log(Level.CONFIG, String)` with `Logger.config(String)`","Replace calls to `java.util.logging.Logger.log(Level.CONFIG, String)` with `Logger.config(String)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelFineSupplierToMethodRecipe,"Replace JUL `Logger.log(Level.FINE, Supplier<String>)` with `Logger.fine(Supplier<String>)`","Replace calls to `java.util.logging.Logger.log(Level.FINE, Supplier<String>)` with `Logger.fine(Supplier<String>)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelFineToMethodRecipe,"Replace JUL `Logger.log(Level.FINE, String)` with `Logger.fine(String)`","Replace calls to `java.util.logging.Logger.log(Level.FINE, String)` with `Logger.fine(String)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelFinerSupplierToMethodRecipe,"Replace JUL `Logger.log(Level.FINER, Supplier<String>)` with `Logger.finer(Supplier<String>)`","Replace calls to `java.util.logging.Logger.log(Level.FINER, Supplier<String>)` with `Logger.finer(Supplier<String>)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelFinerToMethodRecipe,"Replace JUL `Logger.log(Level.FINER, String)` with `Logger.finer(String)`","Replace calls to `java.util.logging.Logger.log(Level.FINER, String)` with `Logger.finer(String)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelFinestSupplierToMethodRecipe,"Replace JUL `Logger.log(Level.FINEST, Supplier<String>)` with `Logger.finest(Supplier<String>)`","Replace calls to `java.util.logging.Logger.log(Level.FINEST, Supplier<String>)` with `Logger.finest(Supplier<String>)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelFinestToMethodRecipe,"Replace JUL `Logger.log(Level.FINEST, String)` with `Logger.finest(String)`","Replace calls to `java.util.logging.Logger.log(Level.FINEST, String)` with `Logger.finest(String)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelInfoSupplierToMethodRecipe,"Replace JUL `Logger.log(Level.INFO, Supplier<String>)` with `Logger.info(Supplier<String>)`","Replace calls to `java.util.logging.Logger.log(Level.INFO, Supplier<String>)` with `Logger.info(Supplier<String>)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelInfoToMethodRecipe,"Replace JUL `Logger.log(Level.INFO, String)` with `Logger.info(String)`","Replace calls to `java.util.logging.Logger.log(Level.INFO, String)` with `Logger.info(String)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelSevereSupplierToMethodRecipe,"Replace JUL `Logger.log(Level.SEVERE, Supplier<String>)` with `Logger.severe(Supplier<String>)`","Replace calls to `java.util.logging.Logger.log(Level.SEVERE, Supplier<String>)` with `Logger.severe(Supplier<String>)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelSevereToMethodRecipe,"Replace JUL `Logger.log(Level.SEVERE, String)` with `Logger.severe(String)`","Replace calls to `java.util.logging.Logger.log(Level.SEVERE, String)` with `Logger.severe(String)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelWarningSupplierToMethodRecipe,"Replace JUL `Logger.log(Level.WARNING, Supplier<String>)` with `Logger.warning(Supplier<String>)`","Replace calls to `java.util.logging.Logger.log(Level.WARNING, Supplier<String>)` with `Logger.warning(Supplier<String>)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jul.LoggerLevelArgumentToMethodRecipes$LogLevelWarningToMethodRecipe,"Replace JUL `Logger.log(Level.WARNING, String)` with `Logger.warning(String)`","Replace calls to `java.util.logging.Logger.log(Level.WARNING, String)` with `Logger.warning(String)`.",1,Jul,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.log4j.ConvertJulEntering,Rewrites JUL's Logger#entering method to Log4j API,Replaces JUL's Logger#entering method calls to Log4j API Logger#traceEntry calls.,1,Log4j,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.log4j.ConvertJulExiting,Rewrites JUL's Logger#exiting method to Log4j API,Replaces JUL's Logger#exiting method calls to Log4j API Logger#traceEntry calls.,1,Log4j,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.log4j.LoggerSetLevelToConfiguratorRecipe,Convert Log4j `Logger.setLevel` to Log4j2 `Configurator.setLevel`,Converts `org.apache.log4j.Logger.setLevel` to `org.apache.logging.log4j.core.config.Configurator.setLevel`.,1,Log4j,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.log4j.LoggingExceptionConcatenationRecipe,Log exceptions as parameters rather than as string concatenations,By using the exception as another parameter you get the whole stack trace.,1,Log4j,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.log4j.PrependRandomName,Prepend a random name to each Log4J statement,To make finding the callsite of a logging statement easier in code search.,1,Log4j,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.log4j.ParameterizedLogging,Parameterize Log4j 2.x logging statements,"Use Log4j 2.x parameterized logging, which can significantly boost performance for messages that otherwise would be assembled with String concatenation. Particularly impactful when the log level is not enabled, as no work is done to assemble the message.",29,Log4j,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.log4j.Log4j1ToLog4j2,Migrate Log4j 1.x to Log4j 2.x,Migrates Log4j 1.x to Log4j 2.x.,101,Log4j,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.log4j.UpgradeLog4J2DependencyVersion,Upgrade Log4j 2.x dependency version,"Upgrades the Log4j 2.x dependencies to the latest 2.x version.
Mitigates the [Log4Shell and other Log4j2-related vulnerabilities](https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-356a).",3,Log4j,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.log4j.CommonsLoggingToLog4j,Migrate JCL to Log4j 2.x API,Transforms code written using Apache Commons Logging to use Log4j 2.x API.,27,Log4j,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.log4j.JulToLog4j,Migrate JUL to Log4j 2.x API,Transforms code written using `java.util.logging` to use Log4j 2.x API.,69,Log4j,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.log4j.Slf4jToLog4j,Migrate SLF4J to Log4j 2.x API,Transforms code written using SLF4J to use Log4j 2.x API.,57,Log4j,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.logback.ConfigureLoggerLevel,Configure logback logger level,Within logback.xml configuration files sets the specified log level for a particular class. Will not create a logback.xml if one does not already exist.,1,Logback,Logging,Java,Recipes related to [`logback`](http://logback.qos.ch/documentation.html).,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,"[{""name"":""className"",""type"":""String"",""displayName"":""Class name"",""description"":""The fully qualified class name to configure the log level for"",""example"":""com.example.MyClass"",""required"":true},{""name"":""logLevel"",""type"":""LogLevel"",""displayName"":""Log level"",""description"":""The log level to set for the class"",""example"":""off"",""valid"":[""trace"",""debug"",""info"",""warn"",""error"",""off""],""required"":true},{""name"":""filePattern"",""type"":""String"",""displayName"":""File pattern"",""description"":""A glob expression that can be used to constrain which directories or source files should be searched. Multiple patterns may be specified, separated by a semicolon `;`. If multiple patterns are supplied any of the patterns matching will be interpreted as a match. When not set, '**/logback.xml' is used."",""example"":""**/logback-spring.xml""}]"
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.logback.Log4jAppenderToLogback,Migrate Log4j 2.x Appender to logback-classic equivalents,"Migrates custom Log4j 2.x Appender components to `logback-classic`. This recipe operates on the following assumptions: 1.) The contents of the `append()` method remains unchanged. 2.) The `requiresLayout()` method is not used in logback and can be removed. 3.) In logback, the `stop()` method is the equivalent of log4j's close() method. For more details, see this page from logback: [`Migration from log4j`](http://logback.qos.ch/manual/migrationFromLog4j.html).",1,Logback,Logging,Java,Recipes related to [`logback`](http://logback.qos.ch/documentation.html).,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.logback.Log4jLayoutToLogback,Migrate Log4j 2.x Layout to logback-classic equivalents,"Migrates custom Log4j 2.x Layout components to `logback-classic`. This recipe operates on the following assumptions: 1. A logback-classic layout must extend the `LayoutBase<ILoggingEvent>` class. 2. log4j's `format()` is renamed to `doLayout()` in a logback-classic layout. 3. LoggingEvent `getRenderedMessage()` is converted to LoggingEvent `getMessage()`. 4. The log4j ignoresThrowable() method is not needed and has no equivalent in logback-classic. 5. The activateOptions() method merits further discussion. In log4j, a layout will have its activateOptions() method invoked by log4j configurators, that is PropertyConfigurator or DOMConfigurator just after all the options of the layout have been set. Thus, the layout will have an opportunity to check that its options are coherent and if so, proceed to fully initialize itself. 6. In logback-classic, layouts must implement the LifeCycle interface which includes a method called start(). The start() method is the equivalent of log4j's activateOptions() method. For more details, see this page from logback: [`Migration from log4j`](http://logback.qos.ch/manual/migrationFromLog4j.html).",1,Logback,Logging,Java,Recipes related to [`logback`](http://logback.qos.ch/documentation.html).,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
